Provider	SDeathN	SDeathR	LungN	LungR	ClotN	ClotR	SplitN	SplitR	CutsN	CutsR	HADeathR	HADeathN	HFDeathR	HFDeathN	PDeathR	PDeathN
150011	38	104.69	4401	0.28	1006	4.47	217	0.53	4600	1.37	15.4	107	13.8	290	13	298
150012	129	126.26	12867	0.32	3802	1.42	323	1.04	13348	1.71	17.4	279	12.4	644	11.6	563
150015	55	111.06	5989	0.42	1242	2.2	163	1.34	6302	1	18.5	171	11.8	365	13.4	211
150017	224	118.02	15177	0.32	4916	3.56	677	0.99	16006	2.49	17.8	488	12.8	665	11.9	349
150018	95	107.68	9225	0.24	2664	3.48	247	1.2	9958	1.99	15.6	323	12.3	679	12	377
150021	203	111.71	13858	0.37	4270	3.22	682	1.35	14917	1.77	16.4	497	12.6	809	11.6	486
150022	NA	NA	1748	0.31	200	3.13	33	0.85	1824	1.87	NA	16	14	157	14.9	154
150023	204	131.2	15374	0.43	4310	2.71	524	1.29	16196	1.29	14.2	537	12.8	863	13.1	712
150024	73	110.08	6483	0.5	1196	4.64	181	1.35	6724	1.2	12.6	132	10.6	183	10.1	113
150026	56	117.28	4500	0.36	1280	2.76	244	1.93	4658	2.96	17.7	90	16.1	224	15.4	336
150030	15	NA	3170	0.32	686	2.31	81	1.7	3341	1.49	16.2	33	11.3	185	12.3	299
150034	68	123.9	9787	0.18	2562	2.36	291	0.46	10323	2.44	14.6	153	10.3	770	10.7	467
150035	133	97.31	10880	0.71	2796	3.34	309	0.4	11525	2.26	14.4	256	14.4	562	14.2	591
150037	31	139.74	3038	0.32	679	4.42	122	0.64	3161	2.03	16.9	44	14.8	113	11.7	259
150038	4	NA	1640	0.3	170	3.46	33	0.87	1706	2.19	15.8	25	11.1	108	14.6	125
150042	66	126.62	6698	0.17	1425	3.31	237	0.51	7004	2.11	16.7	200	13.5	396	10.1	314
150044	190	102.33	12004	0.21	3160	3.67	302	1.64	12619	1.42	13.2	356	10.5	566	11.7	754
150045	7	NA	1152	0.32	100	3.58	29	2.04	1176	2.31	15.1	28	14.5	99	12	156
150046	52	149.26	4907	0.38	1219	5.45	155	1.4	5238	1.27	14.1	230	10.5	303	12.6	254
150047	42	131.14	3039	0.34	725	4.39	44	0.82	3156	3.2	18.7	66	10.7	143	12.8	66
150048	137	107.76	10556	0.38	2522	4.47	248	1.07	10995	1.85	15.3	459	10.7	596	10.2	910
150051	160	115.03	9826	0.44	3297	2.34	440	1.34	10171	2.3	15.5	359	13.6	362	14.3	653
150056	916	108.14	31073	0.34	11721	4.08	2109	0.69	34015	0.9	15.3	403	10.4	661	7.9	572
150057	40	101.25	3209	0.28	2170	1.69	119	1.54	3238	1.92	NA	5	11.4	44	11	169
150058	151	122.77	12326	0.38	4574	3.98	513	0.87	12767	2.66	16.9	288	15.8	542	15.5	486
150059	45	110.32	3768	0.22	1133	3.39	142	0.6	3976	2.32	15.8	120	14	183	14.1	281
150061	15	NA	1736	0.3	178	3.75	43	0.81	1824	2.06	14.5	41	12.9	107	13.7	252
150064	10	NA	1870	0.38	185	3.56	57	0.79	1921	2.99	15.4	37	11.1	111	11.3	216
150065	21	NA	2538	0.26	467	2.74	105	0.68	2604	3.69	15.1	38	12.7	120	13.4	223
150069	15	NA	3652	0.24	484	5.38	129	0.67	3750	2.57	14.4	77	14	223	9.3	290
150072	7	NA	1703	0.3	153	5.13	71	0.76	1753	1.29	NA	16	14.7	117	9.6	213
150074	101	116.63	9539	0.21	1809	1.98	235	0.51	9675	3.03	17.3	123	13.9	353	14.5	394
150075	12	NA	2192	0.3	256	3.65	45	0.83	2330	1.71	15.2	38	11.1	107	13.8	191
150076	9	NA	1886	0.37	297	3.76	45	0.79	1942	1.2	13.9	45	13.2	138	10.8	103
150082	322	91.99	21889	0.43	5846	4.15	765	1.59	22645	3.26	14.6	441	11	907	12.5	1038
150084	421	96.19	21301	0.28	8620	3.11	1384	0.87	22468	1.49	13.8	379	11.5	1090	9.8	498
150086	26	141.29	3761	0.24	491	3.37	106	0.72	3872	1.5	14.2	76	13.3	162	12.1	264
150088	78	99.76	6257	0.32	1021	3.3	184	0.56	6583	1.21	15	94	12.6	280	12.3	519
150089	179	128.27	14233	0.28	4255	2.8	551	0.66	14696	1.5	14.8	426	12.3	683	13.3	749
150090	58	109.82	6180	0.35	1522	5.92	155	0.58	6393	1.4	14.8	155	10.6	383	12.8	283
150091	7	NA	1022	0.43	136	3.8	19	NA	1055	1.65	NA	11	12.3	94	11.5	130
150097	19	NA	2386	0.27	320	3.15	71	0.69	2509	1.36	NA	22	12.1	152	10.8	275
150100	250	100.6	13811	0.4	4791	4.28	552	0.76	14733	2.82	15.9	307	11.3	523	10.2	483
150101	5	NA	749	0.33	66	4.28	21	NA	787	2.15	NA	7	10.9	59	14.1	98
150102	4	NA	833	0.44	38	4.38	10	NA	862	2.2	NA	16	11.7	53	16	132
150104	19	NA	1916	0.3	332	3.21	49	0.8	1981	2.18	14.5	44	12	127	10.5	143
150109	92	133.98	5204	0.44	2310	2.44	242	1.15	5288	2.05	13.1	206	10	182	11.3	75
150112	89	86.94	7245	0.17	2176	2.03	174	0.55	7428	2.77	14.3	311	11.5	334	12.1	346
150113	65	116.52	5928	0.63	1155	3.02	180	0.57	6198	2.69	15.5	92	12	361	12	411
150115	91	79.33	5572	0.3	1621	3.36	143	1.37	5715	3.97	13.8	214	10.6	292	10.8	313
150125	204	85.22	18257	0.5	5285	3.06	704	0.62	19469	1.59	14.9	293	9.4	1371	11	779
150126	79	120.21	10050	0.3	2441	2.73	343	1	10447	2.16	16.4	245	13	667	12.8	489
150128	136	87.77	6156	0.35	1798	3.54	214	0.52	6364	2.27	13.9	129	10.3	319	10.5	349
150129	13	NA	1543	0.29	244	4.36	36	0.85	1526	1.48	NA	14	10.5	85	10.1	99
150133	11	NA	2898	0.26	359	3.62	50	0.8	3035	1.79	16.3	80	12.1	183	14.1	212
150146	4	NA	1269	0.42	119	3.62	22	NA	1312	2.47	NA	19	13.5	82	12.7	142
150149	NA	NA	50	0.34	51	4.29	35	0.91	53	3.88	NA	NA	NA	NA	NA	NA
150150	18	NA	1656	0.29	625	3.59	93	0.79	1663	2.68	NA	13	10.4	32	12.7	64
150153	80	100	5098	0.28	2897	1.97	33	0.84	6039	1.27	12.1	918	9.9	502	10.3	28
150154	100	104.71	3538	0.45	2502	1.68	99	0.71	4144	3.3	16.3	222	10.8	342	10.5	26
150157	47	97.46	2576	0.25	1494	3.86	362	0.49	2580	1.43	NA	6	13.2	51	12.4	80
150158	36	102.93	4871	0.36	773	3.18	124	2.34	5117	1.07	13.3	100	10.1	243	9.5	324
150160	14	NA	1903	0.31	1892	2.16	NA	NA	1628	2.6	NA	NA	NA	NA	NA	NA
150161	78	85.75	3468	0.46	1906	3.09	251	0.5	3634	0.69	14.6	41	10.7	102	11.2	98
150162	151	88.44	6655	0.32	2467	3.02	224	0.57	7594	2.04	14.2	451	11.6	600	11.1	371
150163	4	NA	1017	0.32	35	4.41	12	NA	1059	2.16	NA	4	13.2	46	13	80
150164	18	NA	1271	0.31	478	3.65	92	0.73	1265	1.96	NA	4	12.8	55	11.5	94
150165	7	NA	770	0.42	241	4.6	42	1.92	802	2.06	NA	8	11.7	60	10	54
150166	NA	NA	695	0.33	205	5.02	12	NA	648	2.16	NA	NA	11.4	37	10.4	51
150167	19	NA	1485	0.32	1464	3.4	NA	NA	1132	1.67	NA	NA	NA	NA	NA	NA
150168	21	NA	1773	0.31	1728	3.71	NA	NA	1480	1.58	NA	NA	NA	NA	NA	NA
150169	167	117.4	8328	0.22	2678	2.37	435	0.86	8448	1.96	NA	22	15.6	225	10.7	441
150172	NA	NA	301	0.33	298	3.63	NA	NA	301	1.84	NA	NA	NA	NA	NA	NA
150173	110	114.46	6410	0.24	1776	1.73	302	0.44	7018	1.48	16.9	229	11.3	316	10.5	456
150175	37	120.04	1345	0.46	738	3.15	5	NA	1712	3.35	14.9	202	12.7	88	NA	8
150176	29	105.94	1455	0.38	507	2.12	17	NA	1644	1.64	15.3	29	9.5	75	10.3	51
150177	NA	NA	647	0.31	166	3.85	5	NA	641	1.82	NA	NA	NA	10	NA	22
150179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
151300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	11.6	25	13.8	39
151301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	12	88	11	137
151302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	11.7	63	14.4	118
151303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	11.9	25	11.5	59
151304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	10.9	48	16.3	135
151305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	13.6	42	11.7	80
151306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	12.7	25	12.4	78
151307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	13.1	101	11.6	118
151308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	12	52	13.8	107
151309	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	13.2	66	13.8	69
